"mapname","playable","no crash","localized name","loadscreen","compass","no error viewmodel","no invisible props","error","notes"
"af_caves","✅","✅","❌","❌","✅","✅","✅","","tank with jeep hitbox; can glitch under map"
"af_chase","✅","✅","❌","❌","✅","✅","✅","",""
"airport","✅","✅","❌","❌","❌","✅","✅","","black devball over the map (visible)"
"arcadia","✅","✅","❌","❌","✅","✅","✅","",""
"boneyard","✅","✅","❌","❌","✅","✅","✅","","had script loop error"
"cliffhanger","✅","✅","❌","❌","✅","✅","❌","",""
"contingency","⚠️","✅","❌","❌","✅","✅","✅","","stutters; invisible grenades;"
"dc_whitehouse","❔","✅","❌","❌","❔","✅","✅","Could not load rawfile 'maps/_utility.gsc'",""
"dcburning","✅","✅","❌","❌","✅","✅","✅","",""
"dcemp","✅","✅","❌","❌","✅","✅","✅","",""
"ending","✅","✅","❌","❌","✅","✅","✅","","weapon pickups with low ammo; ammo boxes not working"
"estate","✅","✅","❌","❌","✅","✅","✅","",""
"favela","✅","✅","❌","❌","✅","✅","✅","",""
"favela_escape","❔","✅","❌","❌","❔","✅","✅","Could not load rawfile 'maps/_utility.gsc'",""
"gulag","✅","✅","❌","❌","✅","✅","✅","",""
"invasion","❔","✅","❌","❌","❔","✅","✅","Could not load rawfile 'maps/_compass.gsc'",""
"oilrig","✅","✅","❌","❌","✅","✅","✅","",""
"roadkill","✅","✅","❌","❌","✅","✅","✅","",""
"so_ac130_co_hunted","❌","✅","❌","❌","❌","✅","✅","",""
"so_assault_oilrig","❌","✅","❌","❌","❌","❌","✅","",""
"so_bridge","❔","❌","❌","❌","❔","❔","✅","Could not load rawfile 'maps/mp/so_bridge.gsc'",""
"so_chopper_invasion","✅","✅","❌","❌","❌","✅","✅","",""
"so_crossing_so_bridge","❔","❌","❌","❌","❔","❔","✅","Could not load rawfile 'maps/mp/so_crossing_so_bridge.gsc'",""
"so_defense_invasion","✅","✅","❌","❌","❌","✅","✅","",""
"so_defuse_favela_escape","✅","✅","❌","❌","❌","✅","✅","",""
"so_demo_so_bridge","❔","❌","❌","❌","❔","❔","✅","Could not load rawfile 'maps/mp/so_demo_so_bridge.gsc'",""
"so_download_arcadia","✅","✅","❌","❌","❌","✅","✅","",""
"so_escape_airport","✅","✅","❌","❌","❌","✅","✅","",""
"so_forest_contingency","✅","✅","❌","❌","❌","✅","✅","",""
"so_ghillies","✅","✅","❌","❌","❌","✅","✅","",""
"so_hidden_so_ghillies","✅","✅","❌","❌","❌","✅","✅","",""
"so_intel_boneyard","✅","✅","❌","❌","❌","✅","✅","",""
"so_juggernauts_favela","✅","✅","❌","❌","❌","✅","✅","",""
"so_killspree_favela","✅","✅","❌","❌","❌","✅","✅","",""
"so_killspree_invasion","✅","✅","❌","❌","❌","✅","✅","",""
"so_killspree_trainer","✅","✅","❌","❌","❌","✅","✅","",""
"so_rooftop_contingency","✅","✅","❌","❌","❌","✅","✅","",""
"so_sabotage_cliffhanger","✅","✅","❌","❌","❌","✅","❌","",""
"so_showers_gulag","✅","✅","❌","❌","❌","✅","✅","",""
"so_snowrace1_cliffhanger","✅","✅","❌","❌","❌","✅","❌","",""
"so_snowrace2_cliffhanger","✅","✅","❌","❌","❌","✅","❌","",""
"so_takeover_estate","✅","✅","❌","❌","❌","✅","✅","",""
"so_takeover_oilrig","❌","✅","❌","❌","❌","❌","✅","",""
"trainer","❔","✅","❌","❌","❔","✅","✅","Could not load rawfile 'maps/_utility.gsc'",""
